Custom Network Match,Custom Network Match Type
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"TIN,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"TIN,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"TIN,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"TIN,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN"
YES,TIN
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"TIN,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"TIN,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"TIN,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"TIN,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+STATE"
YES,"TIN,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,TIN
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,TIN
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"TIN,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"TIN,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"TIN,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"TIN,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"TIN,NM+STATE"
YES,"NPI,TIN"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,"NPI,TIN,NM+ZIP,NM+STATE"
YES,TIN
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
YES,"NPI,TIN"
